Time_max,Time_min,Time_mean,Time_q1,Time_q2,Time_q3,LatitudeDegrees_max,LatitudeDegrees_min,LatitudeDegrees_mean,LatitudeDegrees_q1,LatitudeDegrees_q2,LatitudeDegrees_q3,LongitudeDegrees_max,LongitudeDegrees_min,LongitudeDegrees_mean,LongitudeDegrees_q1,LongitudeDegrees_q2,LongitudeDegrees_q3,AltitudeMeters_max,AltitudeMeters_min,AltitudeMeters_mean,AltitudeMeters_q1,AltitudeMeters_q2,AltitudeMeters_q3,HeartRatebpm_max,HeartRatebpm_min,HeartRatebpm_mean,HeartRatebpm_q1,HeartRatebpm_q2,HeartRatebpm_q3,Speed_max,Speed_min,Speed_mean,Speed_q1,Speed_q2,Speed_q3,RunCadence_max,RunCadence_min,RunCadence_mean,RunCadence_q1,RunCadence_q2,RunCadence_q3,gps_speed_max,gps_speed_min,gps_speed_mean,gps_speed_q1,gps_speed_q2,gps_speed_q3,gps_acc_max,gps_acc_min,gps_acc_mean,gps_acc_q1,gps_acc_q2,gps_acc_q3,label,fields_num,props_num,#ref
1615214447,1615210959,1615212827.2536616,1615212007.5,1615212842.0,1615213645.5,45.900826,45.871011,45.88446043346837,45.876759500000006,45.884408,45.891441,6.128752,6.118305,6.124348261140542,6.1222715,6.124902,6.126653,857.4,451.4,647.2626674976628,514.1500000000001,655.7,769.65,NaN,NaN,NaN,NaN,NaN,NaN,8.6,0.0,2.84122779682144,2.0,3.0,3.7,NaN,NaN,NaN,NaN,NaN,NaN,2.664975686051438e-05,0,2.9363419862138676e-06,1.4783280549383418e-06,3.3422062843161172e-06,4.003765271216783e-06,2.246472071536135e-05,-2.44137690419326e-05,-4.178072943872247e-09,-4.0923861793345026e-07,2.201392183808577e-08,5.592327752342386e-07,run,9,6,#107
1602130820,1602126635,1602128755.3588142,1602127789.25,1602128687.5,1602130155.75,41.374413,41.363434,41.36816204485179,41.366176,41.3680095,41.369494,2.17018,2.144447,2.158191007800312,2.15052025,2.158347,2.1659444999999997,167.2,28.0,86.24165366614665,64.8,84.4,104.0,190.0,116.0,161.00546021840873,158.0,162.5,168.0,4.4,0.0,2.6355304212168487,2.2,3.0,3.4,117.0,0.0,76.4723088923557,79.0,80.0,80.0,2.5777506059963287e-05,0,2.7024119650680666e-06,2.5003600306906786e-06,3.004139051056455e-06,3.4050481554882695e-06,2.5777506059963287e-05,-2.3280500233377196e-05,-4.9932684712016664e-09,-4.170979090969635e-07,0.0,3.493485192096106e-07,run,9,6,#101
1488449867,1488448004,1488448771.4142013,1488448222.0,1488448486.0,1488449386.5,41.695763,41.683105,41.69147423668639,41.689903,41.692047,41.694462,0.599509,0.590677,0.5965525798816568,0.5951934999999999,0.597758,0.5984185,256.3,242.9,248.35443786982248,246.8,248.0,250.25,191.0,109.0,168.2603550295858,163.5,175.0,180.0,5.0,0.0,2.8615384615384616,2.8,3.0,3.3,90.0,0.0,82.26627218934911,83.0,83.0,84.0,5.2999771564857105e-06,0,2.509835313689062e-06,2.3801629324413494e-06,2.9675749110932748e-06,3.2574183776314355e-06,1.2292477994810866e-06,-6.862978359179554e-07,7.687282009739423e-09,-3.4724198742605886e-08,0.0,2.1690158114690718e-08,run,9,6,#93
1616412748,1616411694,1616412221.4990494,1616411958.25,1616412221.5,1616412484.75,41.388016,41.386726,41.387070621673004,41.386934249999996,41.387029,41.38711275,2.1662,2.164315,2.165866597908745,2.1658995,2.165964,2.166019,47.2,-129.2,11.187262357414449,16.6,28.4,35.8,145.0,44.0,106.56463878326996,106.0,117.0,126.0,13.2,0.0,0.9384980988593156,0.3,0.5,1.1,NaN,NaN,NaN,NaN,NaN,NaN,2.122208022159984e-05,0,9.361365764513683e-07,2.3752264782332833e-07,4.5253587319025473e-07,9.050718951137972e-07,1.760117519187477e-05,-1.6377001597833667e-05,4.086258796649774e-10,-4.765721883937909e-08,0.0,4.0499674945915945e-08,walk,9,6,#114
1612957951,1612954240,1612956099.4635525,1612955111.5,1612956130.0,1612956980.5,41.607741,41.595792,41.60064224576019,41.596573,41.600013,41.604778,0.647073,0.621605,0.6293034251710801,0.6239725,0.625365,0.6339935000000001,174.8,130.2,145.95304968759297,142.6,145.4,148.6,195.0,99.0,155.72002380243975,156.0,163.0,167.0,11.4,0.0,3.235168104730735,2.8,3.2,3.8,86.0,0.0,77.16364177328177,77.0,77.0,78.0,2.3822750298954327e-05,0,3.247828731706096e-06,2.655529870089088e-06,3.26941927135417e-06,3.903733506888514e-06,2.2137541944723668e-05,-2.0226120905116342e-05,-1.1983748110414551e-09,-5.327229112570751e-07,0.0,4.7030527095686583e-07,run,9,6,#147
1616672751,1616672174,1616672462.6083188,1616672317.5,1616672463.0,1616672607.5,41.386666,41.375667,41.37951881629116,41.3763735,41.378723,41.3823135,2.164802,2.143702,2.1535620849220103,2.148712,2.152622,2.1590415,62.8,1.8,11.082149046793761,5.8,8.6,11.0,108.0,47.0,72.74870017331023,61.0,68.0,86.0,19.2,0.0,4.5280762564991335,3.4,4.7,6.0,NaN,NaN,NaN,NaN,NaN,NaN,2.117898432723161e-05,0,4.3912861021262e-06,1.2681844489584715e-06,3.516748264014725e-06,6.203069114208629e-06,2.117898432723161e-05,-1.710562725710981e-05,-5.4384217182651795e-09,-2.0989681038673848e-06,0.0,1.486307172302732e-06,bike,9,6,#133
1617119878,1617108576,1617114164.372732,1617111201.0,1617113831.0,1617117294.0,41.786214,41.664335,41.71983329980992,41.694592,41.719359,41.741768,0.596036,0.511609,0.5595536664938655,0.542302,0.561408,0.584623,387.4,248.2,323.68612407119406,298.0,328.8,354.4,179.0,76.0,121.51840331778124,107.0,117.0,131.0,13.1,0.0,4.568964921375497,3.3,4.3,5.4,NaN,NaN,NaN,NaN,NaN,NaN,1.5805293196800685e-05,0,4.5428217619837275e-06,3.2639615228371447e-06,4.235629166749367e-06,5.392396511451466e-06,7.304128414203145e-06,-9.058532991651e-06,-1.4274079508846632e-08,-1.7199266280119329e-07,-1.959175422666193e-09,1.5065330438976487e-07,bike,9,6,#20
1489922855,1489917417,1489920068.6975806,1489918689.0,1489920002.5,1489921455.75,41.708834,41.680296,41.69285397311828,41.684048250000004,41.6934055,41.69833575,0.600814,0.58181,0.593136815860215,0.59077775,0.595167,0.59713825,300.3,243.8,260.36344086021506,249.0,250.5,268.9,179.0,105.0,159.27956989247312,157.0,160.0,163.0,4.4,0.0,2.4696236559139786,2.4,2.5,2.7,95.0,0.0,83.49731182795699,84.0,85.0,87.0,6.229338179758149e-06,0,2.4707257636835584e-06,2.3464974576938063e-06,2.5004616603017947e-06,2.6653051404116497e-06,2.379387750868074e-06,-1.912962069885074e-06,1.820531451839772e-10,-2.0052495754372743e-08,1.0532772850831162e-11,1.8323758639981277e-08,run,9,6,#96
1617422928,1617418693,1617420832.264331,1617419457.75,1617420164.5,1617422222.25,41.394346,41.375114,41.38406065958952,41.379257,41.38476,41.38813225,2.196822,2.16572,2.182010134111819,2.1741692500000003,2.1823705,2.1902732499999997,100.6,-16.6,12.733899504600142,-2.8,5.0,21.4,195.0,98.0,168.10828025477707,163.0,167.0,173.0,16.9,0.0,3.1350672328379336,2.8,3.1,3.4,102.0,41.0,77.53857041755131,77.0,78.0,79.0,1.6413645537901776e-05,0,3.096350896651592e-06,2.612781248127974e-06,3.012170519232628e-06,3.4258728803268056e-06,1.3721625789840325e-05,-1.394679239703907e-05,1.0518032080875705e-09,-2.821847051557641e-07,-5.169826259474134e-14,2.441247150259318e-07,run,9,6,#164
1615018305,1615013557,1615016043.925761,1615014876.5,1615016132.0,1615017251.5,41.45321,41.435533,41.447063601583764,41.443315,41.448349,41.450707,2.176462,2.14297,2.1587133758970554,2.152279,2.1551,2.166319,328.2,128.2,247.11056669141303,216.0,263.0,283.29999999999995,208.0,89.0,162.44889878742885,159.0,165.0,171.0,6.3,0.0,2.5226924028705766,2.0,2.7,3.2,122.0,0.0,75.4281118535016,77.0,78.0,79.0,6.211121156928256e-05,0,2.58556901478455e-06,2.2419495299900613e-06,2.7811226142931386e-06,3.3513296487541587e-06,6.211121156928256e-05,-5.95268223898843e-05,1.4977996024943702e-09,-4.605440604912063e-07,0.0,4.146289520760858e-07,run,9,6,#180
